"EmployeeID","GenderIdentity","Ethnicity","VeteranStatus","DisabilityStatus","MaritalStatus","EducationLevel"
108439,"Male","White","No","No","Prefer Not to Say","Bachelor"
104925,"Male","White","No","No","Single","Bachelor"
102321,"Male","Asian","No","No","Single","Master"
100925,"Female","White","No","No","Married","Associate"
107744,"Female","Asian","No","No","Prefer Not to Say","Master"
100462,"Male","White","Yes","No","Single","Bachelor"
105458,"Male","Asian","No","No","Single","Master"
101296,"Female","Hispanic or Latino","No","No","Single","Bachelor"
100679,"Non-Binary","Black or African American","No","No","Married","High School"
101306,"Male","Hispanic or Latino","No","No","Single","Master"
107115,"Female","Hispanic or Latino","No","No","Divorced","Doctorate"
107759,"Female","Hispanic or Latino","No","No","Married","Bachelor"
108809,"Female","Black or African American","No","No","Married","Bachelor"
105824,"Male","Hispanic or Latino","No","No","Married","High School"
109950,"Female","Hispanic or Latino","No","No","Single","Associate"
105405,"Male","White","No","No","Married","Master"
102916,"Male","White","No","No","Divorced","Associate"
107473,"Male","Hispanic or Latino","Yes","No","Married","High School"
100546,"Male","White","No","No","Married","Master"
103099,"Male","Two or More Races","No","No","Single","Master"
109850,"Male","Black or African American","No","No","Single","Bachelor"
106707,"Male","Two or More Races","No","No","Divorced","Master"
105122,"Female","White","No","Prefer Not to Say","Single","Associate"
105581,"Male","Black or African American","No","No","Single","Bachelor"
103096,"Male","White","No","No","Single","Bachelor"
107711,"Male","White","No","Yes","Married","Doctorate"
102463,"Male","White","No","No","Divorced","High School"
106843,"Male","Asian","No","No","Married","Master"
105036,"Female","Asian","No","No","Single","Doctorate"
108431,"Female","Hispanic or Latino","No","Prefer Not to Say","Prefer Not to Say","High School"
103743,"Female","Hispanic or Latino","No","No","Single","Bachelor"
102042,"Male","Asian","No","No","Divorced","Master"
100025,"Male","Hispanic or Latino","No","No","Single","Bachelor"
100526,"Male","Hispanic or Latino","No","No","Single","Bachelor"
108254,"Female","White","No","Prefer Not to Say","Single","Bachelor"
109577,"Female","White","No","No","Divorced","High School"
107004,"Non-Binary","Black or African American","No","No","Married","Bachelor"
109343,"Female","White","No","No","Prefer Not to Say","High School"
104073,"Male","Hispanic or Latino","Yes","No","Single","High School"
108305,"Female","Asian","No","No","Married","Master"
109390,"Male","White","Prefer Not to Say","No","Single","Master"
106556,"Female","Prefer Not to Say","Prefer Not to Say","No","Single","Doctorate"
105839,"Male","Hispanic or Latino","No","No","Married","Bachelor"
100764,"Female","Black or African American","No","No","Single","High School"
101025,"Female","White","No","No","Single","Bachelor"
102509,"Female","Hispanic or Latino","No","No","Married","Bachelor"
104582,"Male","Hispanic or Latino","No","No","Single","Associate"
105397,"Male","Hispanic or Latino","No","No","Divorced","Bachelor"
109009,"Female","Prefer Not to Say","No","No","Married","High School"
100212,"Female","Prefer Not to Say","No","No","Married","Associate"
107980,"Female","Black or African American","No","No","Married","High School"
103928,"Male","Asian","No","No","Married","Associate"
107732,"Male","Asian","No","No","Married","Associate"
109284,"Male","Hispanic or Latino","No","No","Married","Master"
107378,"Female","Prefer Not to Say","No","Yes","Married","Bachelor"
103074,"Female","White","No","No","Married","Bachelor"
101336,"Male","Black or African American","Prefer Not to Say","No","Single","Associate"
106260,"Male","Black or African American","No","No","Single","Bachelor"
102454,"Female","Asian","No","No","Prefer Not to Say","Master"
103912,"Female","Asian","Prefer Not to Say","No","Single","Bachelor"
104811,"Female","Asian","No","No","Married","Master"
103113,"Male","Two or More Races","No","No","Single","High School"
100186,"Female","White","Prefer Not to Say","No","Single","Master"
104738,"Male","White","Yes","No","Prefer Not to Say","Bachelor"
105087,"Female","Black or African American","Yes","Prefer Not to Say","Married","Bachelor"
100303,"Female","Hispanic or Latino","Yes","No","Single","Master"
108386,"Female","Hispanic or Latino","No","No","Single","Master"
107865,"Male","Asian","No","No","Single","Bachelor"
104583,"Male","Two or More Races","No","No","Single","Bachelor"
100675,"Female","Hispanic or Latino","No","No","Single","Bachelor"
105294,"Female","Black or African American","No","No","Single","Master"
104396,"Non-Binary","Prefer Not to Say","No","No","Single","Bachelor"
103006,"Male","Native Hawaiian or Pacific Islander","No","No","Married","Bachelor"
107439,"Female","White","No","No","Married","Bachelor"
108906,"Female","Asian","No","No","Married","Bachelor"
106702,"Female","Black or African American","No","No","Divorced","Bachelor"
107148,"Female","Black or African American","No","No","Married","Bachelor"
103696,"Male","White","No","No","Married","Master"
103618,"Female","White","No","No","Married","Doctorate"
103849,"Male","Asian","No","No","Divorced","Associate"
106287,"Female","Black or African American","No","No","Single","Master"
106302,"Female","Black or African American","No","No","Prefer Not to Say","Bachelor"
107673,"Male","Prefer Not to Say","No","No","Single","Associate"
109811,"Male","Hispanic or Latino","No","No","Married","Bachelor"
102673,"Male","Prefer Not to Say","No","Prefer Not to Say","Married","Master"
102052,"Female","Hispanic or Latino","No","No","Married","High School"
101479,"Female","Hispanic or Latino","No","No","Single","Bachelor"
109885,"Male","White","No","No","Prefer Not to Say","Bachelor"
108106,"Male","Hispanic or Latino","No","Prefer Not to Say","Married","Master"
103155,"Male","Asian","No","No","Married","Bachelor"
108841,"Male","Asian","No","No","Married","Bachelor"
103920,"Female","Hispanic or Latino","No","No","Single","Bachelor"
109948,"Male","Hispanic or Latino","No","No","Married","Associate"
109935,"Male","Two or More Races","No","No","Married","Associate"
106290,"Female","Hispanic or Latino","No","No","Married","Bachelor"
102497,"Male","Black or African American","No","No","Divorced","Bachelor"
108365,"Male","White","No","No","Single","Bachelor"
106334,"Male","White","No","No","Single","Bachelor"
101603,"Female","Two or More Races","No","No","Prefer Not to Say","Associate"
100947,"Male","Asian","No","No","Single","Bachelor"
108852,"Female","Black or African American","No","No","Single","Associate"
101646,"Male","Hispanic or Latino","No","No","Married","Bachelor"
103417,"Non-Binary","White","No","No","Married","Doctorate"
109939,"Male","White","Yes","Yes","Single","Bachelor"
100762,"Male","White","No","No","Married","Doctorate"
107984,"Male","White","No","No","Divorced","Bachelor"
106479,"Male","Asian","No","No","Married","Master"
100816,"Female","Hispanic or Latino","No","No","Single","Bachelor"
104596,"Female","Black or African American","No","No","Single","Bachelor"
104838,"Male","White","No","No","Divorced","Master"
101347,"Male","White","No","No","Single","Master"
109710,"Female","Two or More Races","No","No","Married","Bachelor"
101132,"Female","Hispanic or Latino","No","Prefer Not to Say","Divorced","Bachelor"
103999,"Female","White","Yes","No","Married","Associate"
103388,"Female","White","No","No","Married","Associate"
100504,"Female","White","No","No","Single","Master"
103681,"Female","White","No","No","Divorced","High School"
107091,"Male","Black or African American","No","No","Divorced","Master"
101601,"Male","Hispanic or Latino","No","No","Single","Bachelor"
100369,"Female","Hispanic or Latino","No","No","Married","Bachelor"
100111,"Female","Black or African American","No","No","Single","Bachelor"
106044,"Male","Hispanic or Latino","No","No","Single","Master"
103764,"Male","Hispanic or Latino","No","Yes","Married","Master"
106283,"Male","White","No","No","Single","Associate"
100074,"Male","White","No","No","Married","Associate"
103331,"Male","White","No","No","Married","Associate"
109424,"Female","White","No","No","Single","Bachelor"
108189,"Female","White","No","No","Married","High School"
