"CompensationEventID","EmployeeID","EffectiveDate","BaseSalary","BonusTargetPct","AnnualBonusTarget","PayGrade","CompensationChangeReason"
"C108439_1",108439,2016-01-01,513150,0.2,102630,"L10","Hire"
"C108439_2",108439,2017-01-01,525243,0.2,105049,"L10","Market Adjustment"
"C108439_3",108439,2018-01-01,547559,0.2,109512,"L10","Merit"
"C108439_4",108439,2019-01-01,555737,0.2,111147,"L10","Merit"
"C108439_5",108439,2020-01-01,601122,0.2,120224,"L10","Market Adjustment"
"C108439_6",108439,2021-01-01,610173,0.2,122035,"L10","Merit"
"C108439_7",108439,2022-01-01,609263,0.2,121853,"L10","Merit"
"C108439_8",108439,2023-01-01,623786,0.2,124757,"L10","Market Adjustment"
"C108439_9",108439,2024-01-01,780615,0.2,156123,"L10","Merit"
"C108439_10",108439,2025-01-01,675596,0.2,135119,"L10","Market Adjustment"
"C108439_11",108439,2026-01-01,767013,0.2,153403,"L10","Market Adjustment"
"C104925_1",104925,2018-01-01,562953,0.2,112591,"L10","Hire"
"C104925_2",104925,2019-01-01,577941,0.2,115588,"L10","Merit"
"C104925_3",104925,2020-01-01,605731,0.2,121146,"L10","Merit"
"C104925_4",104925,2021-01-01,612997,0.2,122599,"L10","Merit"
"C104925_5",104925,2022-01-01,684400,0.2,136880,"L10","Merit"
"C104925_6",104925,2023-01-01,694829,0.2,138966,"L10","Merit"
"C104925_7",104925,2024-01-01,635165,0.2,127033,"L10","Merit"
"C104925_8",104925,2025-01-01,669867,0.2,133973,"L10","Merit"
"C104925_9",104925,2026-01-01,831669,0.2,166334,"L10","Merit"
"C102321_1",102321,2018-01-01,549431,0.2,109886,"L10","Hire"
"C102321_2",102321,2019-01-01,579086,0.2,115817,"L10","Market Adjustment"
"C102321_3",102321,2020-01-01,582302,0.2,116460,"L10","Merit"
"C102321_4",102321,2021-01-01,583764,0.2,116753,"L10","Market Adjustment"
"C102321_5",102321,2022-01-01,658012,0.2,131602,"L10","Merit"
"C102321_6",102321,2023-01-01,603211,0.2,120642,"L10","Merit"
"C102321_7",102321,2024-01-01,622556,0.2,124511,"L10","Merit"
"C102321_8",102321,2025-01-01,683701,0.2,136740,"L10","Merit"
"C102321_9",102321,2026-01-01,807901,0.2,161580,"L10","Merit"
"C100925_1",100925,2021-01-01,388024,0.2,77605,"L10","Hire"
"C100925_2",100925,2022-01-01,405650,0.2,81130,"L10","Merit"
