"EmployeeID","DepartmentID","JobID","LocationID","ManagerID","HireDate","TerminationDate","EmploymentStatus","TerminationType","WorkerType","EmploymentType","FTE","RemoteStatus","FinalTenureYears"
108439,1,1,3,NA,2016-08-30,NA,"Active",NA,"Employee","Regular",0.8,"Onsite",9.53
104925,1,1,9,108439,2018-08-16,NA,"Active",NA,"Employee","Regular",1,"Hybrid",7.56
102321,1,1,10,108439,2018-08-22,NA,"Active",NA,"Employee","Regular",1,"Onsite",7.55
100925,1,1,2,108439,2021-10-10,NA,"Active",NA,"Employee","Regular",1,"Hybrid",4.41
107744,1,2,12,108439,2013-12-11,NA,"Active",NA,"Employee","Regular",1,"Onsite",12.24
100462,1,2,5,108439,2014-06-18,NA,"Active",NA,"Employee","Regular",1,"Onsite",11.73
105458,1,2,1,108439,2015-01-22,NA,"Active",NA,"Contractor","Regular",1,"Onsite",11.13
101296,1,2,10,108439,2015-03-01,NA,"Active",NA,"Employee","Regular",1,"Hybrid",11.02
100679,1,2,6,108439,2015-03-17,NA,"Active",NA,"Employee","Regular",1,"Remote",10.98
101306,1,2,3,108439,2015-03-22,NA,"Active",NA,"Employee","Regular",1,"Remote",10.97
107115,1,2,12,108439,2015-10-20,NA,"Active",NA,"Contractor","Regular",1,"Onsite",10.39
107759,1,2,5,108439,2016-08-31,NA,"Active",NA,"Employee","Regular",1,"Onsite",9.52
108809,1,2,2,108439,2017-04-22,2022-08-20,"Terminated","Involuntary","Contractor","Regular",0.8,"Onsite",5.33
105824,1,2,5,108439,2017-08-02,NA,"Active",NA,"Employee","Regular",0.6,"Onsite",8.6
109950,1,2,3,108439,2017-09-28,NA,"Active",NA,"Employee","Regular",1,"Onsite",8.45
105405,1,2,1,108439,2017-12-03,NA,"Active",NA,"Employee","Regular",1,"Onsite",8.27
102916,1,2,10,108439,2018-01-16,NA,"Active",NA,"Employee","Regular",1,"Onsite",8.15
107473,1,2,11,108439,2018-02-06,2021-12-20,"Terminated","Voluntary","Employee","Regular",1,"Remote",3.87
100546,1,2,7,108439,2018-12-26,NA,"Active",NA,"Employee","Regular",0.8,"Onsite",7.2
103099,1,2,6,108439,2019-02-13,NA,"Active",NA,"Employee","Regular",1,"Onsite",7.07
109850,1,2,8,108439,2019-07-10,2024-12-05,"Terminated","Voluntary","Employee","Regular",1,"Remote",5.41
106707,1,2,12,108439,2019-11-01,NA,"Active",NA,"Employee","Regular",0.8,"Onsite",6.35
105122,1,2,11,108439,2019-11-08,NA,"Active",NA,"Employee","Regular",1,"Onsite",6.33
105581,1,2,4,108439,2020-09-18,NA,"Active",NA,"Employee","Regular",1,"Onsite",5.47
103096,1,2,8,108439,2020-12-31,NA,"Active",NA,"Employee","Regular",1,"Hybrid",5.19
107711,1,2,9,108439,2022-03-28,NA,"Active",NA,"Employee","Regular",1,"Hybrid",3.95
102463,1,2,4,108439,2022-05-13,NA,"Active",NA,"Employee","Regular",1,"Onsite",3.82
106843,1,2,2,108439,2023-02-18,NA,"Active",NA,"Employee","Regular",1,"Onsite",3.05
105036,1,2,10,108439,2023-03-18,NA,"Active",NA,"Employee","Regular",1,"Onsite",2.98
108431,1,2,6,108439,2024-03-21,NA,"Active",NA,"Employee","Regular",1,"Hybrid",1.97
103743,1,2,3,108439,2024-06-09,NA,"Active",NA,"Contractor","Regular",1,"Onsite",1.75
102042,1,2,2,108439,2025-06-27,NA,"Active",NA,"Employee","Regular",1,"Hybrid",0.7
100025,1,2,6,108439,2025-12-07,NA,"Active",NA,"Employee","Regular",1,"Onsite",0.25
100526,1,3,5,108439,2013-01-09,NA,"Active",NA,"Employee","Regular",1,"Remote",13.16
108254,1,3,3,108439,2013-04-26,NA,"Active",NA,"Employee","Regular",1,"Hybrid",12.87
109577,1,3,1,108439,2014-04-29,NA,"Active",NA,"Employee","Regular",1,"Onsite",11.86
