"SurveyResponseID","EmployeeID","SurveyDate","EngagementScore","ManagerEffectivenessScore","InclusionScore","IntentToStayScore","SurveyParticipationFlag"
"S202403_108439",108439,2024-03-31,4,3.7,4.3,2.2,"Yes"
"S202403_104925",104925,2024-03-31,3.2,3.5,4.2,3.1,"Yes"
"S202403_102321",102321,2024-03-31,2.9,4.4,4,3,"Yes"
"S202403_100925",100925,2024-03-31,2.7,3.6,3.8,2.9,"Yes"
"S202403_107744",107744,2024-03-31,3.9,2.7,4.4,3.6,"Yes"
"S202403_100462",100462,2024-03-31,3.6,3.8,4,5,"Yes"
"S202403_105458",105458,2024-03-31,3.7,3.4,3,3.4,"Yes"
"S202403_101296",101296,2024-03-31,3.8,4.1,3.8,3.5,"Yes"
"S202403_100679",100679,2024-03-31,3.7,4.3,4.8,4,"Yes"
"S202403_101306",101306,2024-03-31,3.2,3.9,4.1,4.1,"Yes"
"S202403_107115",107115,2024-03-31,4,4,4,2.7,"Yes"
"S202403_107759",107759,2024-03-31,5,4.2,4.2,3.9,"Yes"
"S202403_105824",105824,2024-03-31,3.2,3.6,4.4,3.1,"Yes"
"S202403_109950",109950,2024-03-31,5,5,4,3.4,"Yes"
"S202403_105405",105405,2024-03-31,3.7,3.1,4.7,3.9,"Yes"
"S202403_102916",102916,2024-03-31,3.5,3.2,3.9,2.9,"Yes"
"S202403_100546",100546,2024-03-31,4.4,3.5,4.2,3.2,"Yes"
"S202403_103099",103099,2024-03-31,3.5,4.4,3.1,2.7,"Yes"
"S202403_109850",109850,2024-03-31,3.2,2.9,4.3,4.7,"Yes"
"S202403_106707",106707,2024-03-31,4.6,4.4,2.7,3.2,"Yes"
"S202403_105122",105122,2024-03-31,5,4.4,3.7,4.1,"Yes"
"S202403_105581",105581,2024-03-31,3.8,4.3,4.5,3.1,"Yes"
"S202403_103096",103096,2024-03-31,2.9,3.5,4.4,4,"Yes"
"S202403_107711",107711,2024-03-31,3.2,3.5,3.9,3.7,"Yes"
"S202403_102463",102463,2024-03-31,2.9,4,3.7,2.5,"Yes"
"S202403_106843",106843,2024-03-31,2.6,3.5,3.8,4.1,"Yes"
"S202403_105036",105036,2024-03-31,4.1,3.2,4,4.1,"Yes"
"S202403_100526",100526,2024-03-31,5,3.8,3.4,4.1,"Yes"
"S202403_108254",108254,2024-03-31,4,3.5,3.7,2.9,"Yes"
"S202403_109577",109577,2024-03-31,2.9,3.7,3.9,3.6,"Yes"
"S202403_107004",107004,2024-03-31,3.5,4,3.7,3.1,"Yes"
"S202403_109343",109343,2024-03-31,4.4,4.8,4.3,2.8,"Yes"
"S202403_104073",104073,2024-03-31,3.5,4.1,3.5,4,"Yes"
"S202403_109390",109390,2024-03-31,2.9,4.3,4.1,4.3,"Yes"
"S202403_106556",106556,2024-03-31,5,3.5,3.7,3.4,"Yes"
"S202403_105839",105839,2024-03-31,4.3,5,4,4.3,"Yes"
"S202403_100764",100764,2024-03-31,3.7,3.3,4.3,4.2,"Yes"
"S202403_101025",101025,2024-03-31,4.7,4.4,3,3.5,"Yes"
"S202403_102509",102509,2024-03-31,4.1,4.4,3.2,4,"Yes"
"S202403_104582",104582,2024-03-31,3.1,3.5,4.2,3.6,"Yes"
"S202403_105397",105397,2024-03-31,4.9,3.9,3.9,4.8,"Yes"
"S202403_109009",109009,2024-03-31,3.2,4.5,3.6,3.2,"Yes"
"S202403_100212",100212,2024-03-31,5,4.2,3.4,3.3,"Yes"
"S202403_107980",107980,2024-03-31,3.4,3.3,4,3.9,"Yes"
"S202403_103928",103928,2024-03-31,4,3.6,3.7,4.2,"Yes"
"S202403_107732",107732,2024-03-31,3.7,3.4,3.8,3.1,"Yes"
"S202403_109284",109284,2024-03-31,3.1,3,4,2.5,"Yes"
"S202403_107378",107378,2024-03-31,3.3,3.8,3.4,4.3,"Yes"
"S202403_103074",103074,2024-03-31,5,4.6,4.3,5,"Yes"
"S202403_101336",101336,2024-03-31,3.8,4.6,4.3,2.8,"Yes"
"S202403_106260",106260,2024-03-31,5,3.5,4.2,4.4,"Yes"
"S202403_102454",102454,2024-03-31,4.1,2.1,4.3,3,"Yes"
