DepartmentID,LocationID,Headcount,SnapshotDate,DepartmentName,LocationName,Region
1,1,3,1/1/2024,Executive,Las Vegas,West
1,2,3,1/1/2024,Executive,Phoenix,West
1,3,8,1/1/2024,Executive,Austin,South
1,4,7,1/1/2024,Executive,Chicago,Midwest
1,5,5,1/1/2024,Executive,Atlanta,South
1,6,4,1/1/2024,Executive,Seattle,West
1,7,4,1/1/2024,Executive,Denver,West
1,8,6,1/1/2024,Executive,Nashville,South
1,9,5,1/1/2024,Executive,Miami,South
1,10,10,1/1/2024,Executive,Remote-East,East
1,11,5,1/1/2024,Executive,Remote-Central,Central
1,12,8,1/1/2024,Executive,Remote-West,West
2,1,231,1/1/2024,Engineering,Las Vegas,West
2,2,182,1/1/2024,Engineering,Phoenix,West
2,3,267,1/1/2024,Engineering,Austin,South
2,4,170,1/1/2024,Engineering,Chicago,Midwest
2,5,177,1/1/2024,Engineering,Atlanta,South
2,6,181,1/1/2024,Engineering,Seattle,West
2,7,157,1/1/2024,Engineering,Denver,West
2,8,140,1/1/2024,Engineering,Nashville,South
2,9,162,1/1/2024,Engineering,Miami,South
2,10,165,1/1/2024,Engineering,Remote-East,East
2,11,192,1/1/2024,Engineering,Remote-Central,Central
2,12,152,1/1/2024,Engineering,Remote-West,West
3,1,72,1/1/2024,Product,Las Vegas,West
3,2,49,1/1/2024,Product,Phoenix,West
3,3,64,1/1/2024,Product,Austin,South
3,4,45,1/1/2024,Product,Chicago,Midwest
3,5,39,1/1/2024,Product,Atlanta,South
3,6,59,1/1/2024,Product,Seattle,West
3,7,45,1/1/2024,Product,Denver,West
3,8,53,1/1/2024,Product,Nashville,South
3,9,45,1/1/2024,Product,Miami,South
3,10,53,1/1/2024,Product,Remote-East,East
3,11,43,1/1/2024,Product,Remote-Central,Central
3,12,46,1/1/2024,Product,Remote-West,West
4,1,57,1/1/2024,IT,Las Vegas,West
4,2,51,1/1/2024,IT,Phoenix,West
4,3,78,1/1/2024,IT,Austin,South
4,4,48,1/1/2024,IT,Chicago,Midwest
4,5,51,1/1/2024,IT,Atlanta,South
4,6,67,1/1/2024,IT,Seattle,West
4,7,42,1/1/2024,IT,Denver,West
4,8,44,1/1/2024,IT,Nashville,South
4,9,54,1/1/2024,IT,Miami,South
4,10,54,1/1/2024,IT,Remote-East,East
4,11,50,1/1/2024,IT,Remote-Central,Central
4,12,49,1/1/2024,IT,Remote-West,West
5,1,35,1/1/2024,Finance,Las Vegas,West
5,2,35,1/1/2024,Finance,Phoenix,West
5,3,61,1/1/2024,Finance,Austin,South
5,4,43,1/1/2024,Finance,Chicago,Midwest
5,5,43,1/1/2024,Finance,Atlanta,South
5,6,49,1/1/2024,Finance,Seattle,West
5,7,39,1/1/2024,Finance,Denver,West
5,8,32,1/1/2024,Finance,Nashville,South
5,9,46,1/1/2024,Finance,Miami,South
5,10,39,1/1/2024,Finance,Remote-East,East
5,11,45,1/1/2024,Finance,Remote-Central,Central
5,12,46,1/1/2024,Finance,Remote-West,West
6,1,45,1/1/2024,HR,Las Vegas,West
6,2,42,1/1/2024,HR,Phoenix,West
6,3,67,1/1/2024,HR,Austin,South
6,4,54,1/1/2024,HR,Chicago,Midwest
6,5,36,1/1/2024,HR,Atlanta,South
6,6,47,1/1/2024,HR,Seattle,West
6,7,45,1/1/2024,HR,Denver,West
6,8,48,1/1/2024,HR,Nashville,South
6,9,41,1/1/2024,HR,Miami,South
6,10,41,1/1/2024,HR,Remote-East,East
6,11,39,1/1/2024,HR,Remote-Central,Central
6,12,43,1/1/2024,HR,Remote-West,West
7,1,62,1/1/2024,Marketing,Las Vegas,West
7,2,45,1/1/2024,Marketing,Phoenix,West
7,3,69,1/1/2024,Marketing,Austin,South
7,4,44,1/1/2024,Marketing,Chicago,Midwest
7,5,38,1/1/2024,Marketing,Atlanta,South
7,6,57,1/1/2024,Marketing,Seattle,West
7,7,51,1/1/2024,Marketing,Denver,West
7,8,45,1/1/2024,Marketing,Nashville,South
7,9,62,1/1/2024,Marketing,Miami,South
7,10,59,1/1/2024,Marketing,Remote-East,East
7,11,51,1/1/2024,Marketing,Remote-Central,Central
7,12,48,1/1/2024,Marketing,Remote-West,West
8,1,115,1/1/2024,Sales,Las Vegas,West
8,2,89,1/1/2024,Sales,Phoenix,West
8,3,129,1/1/2024,Sales,Austin,South
8,4,97,1/1/2024,Sales,Chicago,Midwest
8,5,91,1/1/2024,Sales,Atlanta,South
8,6,99,1/1/2024,Sales,Seattle,West
8,7,77,1/1/2024,Sales,Denver,West
8,8,67,1/1/2024,Sales,Nashville,South
8,9,82,1/1/2024,Sales,Miami,South
8,10,79,1/1/2024,Sales,Remote-East,East
8,11,95,1/1/2024,Sales,Remote-Central,Central
8,12,93,1/1/2024,Sales,Remote-West,West
9,1,89,1/1/2024,Operations,Las Vegas,West
9,2,78,1/1/2024,Operations,Phoenix,West
9,3,85,1/1/2024,Operations,Austin,South
9,4,88,1/1/2024,Operations,Chicago,Midwest
9,5,65,1/1/2024,Operations,Atlanta,South
9,6,76,1/1/2024,Operations,Seattle,West
9,7,63,1/1/2024,Operations,Denver,West
9,8,64,1/1/2024,Operations,Nashville,South
9,9,72,1/1/2024,Operations,Miami,South
9,10,96,1/1/2024,Operations,Remote-East,East
9,11,72,1/1/2024,Operations,Remote-Central,Central
9,12,77,1/1/2024,Operations,Remote-West,West
10,1,91,1/1/2024,Customer Support,Las Vegas,West
10,2,59,1/1/2024,Customer Support,Phoenix,West
10,3,84,1/1/2024,Customer Support,Austin,South
10,4,63,1/1/2024,Customer Support,Chicago,Midwest
10,5,50,1/1/2024,Customer Support,Atlanta,South
10,6,50,1/1/2024,Customer Support,Seattle,West
10,7,52,1/1/2024,Customer Support,Denver,West
10,8,48,1/1/2024,Customer Support,Nashville,South
10,9,61,1/1/2024,Customer Support,Miami,South
10,10,68,1/1/2024,Customer Support,Remote-East,East
10,11,49,1/1/2024,Customer Support,Remote-Central,Central
10,12,61,1/1/2024,Customer Support,Remote-West,West
