"LearningEventID","EmployeeID","CourseID","CompletionDate","LearningHours","CompletionStatus","CourseName","CourseCategory"
"L108439_1",108439,7,2019-03-24,5.3,"Completed","Project Management Basics","Business"
"L108439_2",108439,12,2022-01-29,4.6,"Completed","Data Literacy","Technical"
"L108439_3",108439,2,2023-08-04,11.5,"Completed","Security Awareness","Compliance"
"L108439_4",108439,4,2025-05-15,1.8,"Completed","Inclusive Leadership","Leadership"
"L104925_1",104925,4,2022-09-27,3.5,"Completed","Inclusive Leadership","Leadership"
"L104925_2",104925,11,2023-05-16,3.5,"Completed","Finance for Managers","Business"
"L104925_3",104925,6,2023-10-12,1.1,"Completed","Power BI Foundations","Technical"
"L104925_4",104925,7,2024-03-01,11.1,"Completed","Project Management Basics","Business"
"L104925_5",104925,9,2024-03-10,4.6,"Completed","Sales Negotiation","Business"
"L104925_6",104925,2,2025-01-29,3,"Completed","Security Awareness","Compliance"
"L102321_1",102321,9,2020-12-27,2.9,"Completed","Sales Negotiation","Business"
"L102321_2",102321,6,2025-02-04,7,"Completed","Power BI Foundations","Technical"
"L102321_3",102321,2,2025-07-16,1.6,"Completed","Security Awareness","Compliance"
"L107744_1",107744,7,2018-05-23,10.8,"Completed","Project Management Basics","Business"
"L107744_2",107744,4,2019-05-09,8.1,"Completed","Inclusive Leadership","Leadership"
"L100462_1",100462,11,2018-02-02,9,"Completed","Finance for Managers","Business"
"L100462_2",100462,10,2019-02-25,11.6,"Completed","HR Compliance","Compliance"
"L100462_3",100462,5,2019-03-13,6.6,"Completed","Advanced Excel","Technical"
"L105458_1",105458,2,2021-11-27,9.4,"Completed","Security Awareness","Compliance"
"L101296_1",101296,4,2017-07-23,11.4,"Completed","Inclusive Leadership","Leadership"
"L101296_2",101296,6,2018-01-11,9.8,"Completed","Power BI Foundations","Technical"
"L101296_3",101296,3,2019-05-11,7.1,"Completed","Manager Essentials","Leadership"
"L101296_4",101296,1,2021-12-09,10.2,"Completed","Code of Conduct","Compliance"
"L101306_1",101306,3,2018-01-11,7.7,"Completed","Manager Essentials","Leadership"
"L101306_2",101306,6,2020-03-08,1.5,"Completed","Power BI Foundations","Technical"
"L101306_3",101306,12,2025-05-15,6,"Completed","Data Literacy","Technical"
"L107115_1",107115,5,2018-06-21,11.3,"Completed","Advanced Excel","Technical"
"L107115_2",107115,8,2020-09-10,11.1,"Completed","Customer Experience","Business"
"L107115_3",107115,9,2021-03-10,8.5,"Completed","Sales Negotiation","Business"
