"LeaveEventID","EmployeeID","LeaveType","LeaveStartDate","LeaveEndDate","LeaveDays","PaidFlag"
"LV107759_1",107759,"Jury Duty",2020-05-07,2020-05-13,7,"Yes"
"LV102916_1",102916,"Sick Leave",2023-03-22,2023-03-26,5,"Yes"
"LV106707_1",106707,"Sick Leave",2025-06-11,2025-06-12,2,"Yes"
"LV103096_1",103096,"Sick Leave",2023-07-07,2023-07-11,5,"Yes"
"LV107711_1",107711,"Vacation",2024-10-06,2024-10-12,7,"Yes"
"LV108431_1",108431,"Vacation",2025-05-04,2025-05-09,6,"Yes"
"LV100025_1",100025,"Vacation",2026-01-28,2026-01-29,2,"Yes"
"LV109577_1",109577,"Vacation",2016-02-25,2016-03-01,6,"Yes"
"LV107004_1",107004,"Medical Leave",2021-04-03,2021-05-05,33,"No"
"LV106556_1",106556,"Bereavement",2025-09-14,2025-09-16,3,"Yes"
"LV106260_1",106260,"Vacation",2022-09-24,2022-09-28,5,"Yes"
"LV100186_1",100186,"Sick Leave",2025-01-13,2025-01-16,4,"Yes"
"LV108386_1",108386,"Vacation",2023-01-18,2023-01-26,9,"Yes"
"LV107439_1",107439,"Bereavement",2024-12-01,2024-12-05,5,"Yes"
"LV107439_2",107439,"Medical Leave",2025-07-26,2025-08-10,16,"No"
"LV106702_1",106702,"Vacation",2025-05-11,2025-05-12,2,"Yes"
"LV107673_1",107673,"Parental Leave",2016-01-09,2016-03-05,57,"No"
"LV108841_1",108841,"Jury Duty",2023-05-08,2023-05-15,8,"Yes"
"LV109935_1",109935,"Sick Leave",2015-04-03,2015-04-07,5,"Yes"
"LV104596_1",104596,"Parental Leave",2022-10-22,2022-11-22,32,"No"
"LV109710_1",109710,"Vacation",2019-07-17,2019-07-18,2,"Yes"
"LV101132_1",101132,"Medical Leave",2019-05-12,2019-06-12,32,"Yes"
"LV107091_1",107091,"Bereavement",2024-07-16,2024-07-19,4,"Yes"
"LV100369_1",100369,"Vacation",2025-03-05,2025-03-06,2,"Yes"
"LV106044_1",106044,"Sick Leave",2026-01-29,2026-02-01,4,"Yes"
"LV106283_1",106283,"Sick Leave",2021-05-22,2021-05-26,5,"Yes"
"LV103393_1",103393,"Sick Leave",2024-10-17,2024-10-21,5,"Yes"
"LV105695_1",105695,"Vacation",2023-09-07,2023-09-11,5,"Yes"
"LV105695_2",105695,"Vacation",2025-11-04,2025-11-10,7,"Yes"
"LV108760_1",108760,"Parental Leave",2025-03-31,2025-04-22,23,"Yes"
"LV108255_1",108255,"Vacation",2023-08-24,2023-08-28,5,"Yes"
"LV106029_1",106029,"Bereavement",2025-09-26,2025-09-29,4,"Yes"
"LV102788_1",102788,"Jury Duty",2026-01-14,2026-01-18,5,"Yes"
"LV109887_1",109887,"Medical Leave",2025-12-01,2026-01-02,33,"No"
"LV100597_1",100597,"Medical Leave",2025-10-22,2025-11-17,27,"Yes"
"LV101842_1",101842,"Sick Leave",2025-10-15,2025-10-19,5,"Yes"
"LV107600_1",107600,"Sick Leave",2024-07-21,2024-07-22,2,"Yes"
"LV105650_1",105650,"Sick Leave",2024-07-17,2024-07-20,4,"Yes"
"LV105650_2",105650,"Sick Leave",2025-10-08,2025-10-08,1,"Yes"
"LV106436_1",106436,"Bereavement",2021-11-30,2021-12-02,3,"Yes"
"LV103761_1",103761,"Sick Leave",2025-09-24,2025-09-28,5,"Yes"
"LV105280_1",105280,"Sick Leave",2014-08-21,2014-08-22,2,"Yes"
"LV106071_1",106071,"Sick Leave",2018-05-26,2018-05-27,2,"Yes"
"LV103446_1",103446,"Medical Leave",2021-11-08,2021-11-25,18,"No"
"LV101074_1",101074,"Vacation",2019-12-01,2019-12-03,3,"Yes"
"LV103434_1",103434,"Medical Leave",2020-09-12,2020-10-20,39,"Yes"
"LV109878_1",109878,"Parental Leave",2025-12-23,2026-01-12,21,"Yes"
"LV103904_1",103904,"Vacation",2025-09-20,2025-09-23,4,"Yes"
"LV107247_1",107247,"Jury Duty",2023-01-29,2023-02-01,4,"Yes"
"LV103159_1",103159,"Medical Leave",2023-01-04,2023-01-30,27,"No"
"LV106822_1",106822,"Vacation",2025-10-25,2025-10-30,6,"Yes"
"LV102349_1",102349,"Sick Leave",2024-03-20,2024-03-21,2,"Yes"
"LV106273_1",106273,"Vacation",2024-06-05,2024-06-09,5,"Yes"
"LV101008_1",101008,"Vacation",2025-09-26,2025-10-05,10,"Yes"
"LV102814_1",102814,"Vacation",2015-01-15,2015-01-19,5,"Yes"
"LV101339_1",101339,"Sick Leave",2019-05-16,2019-05-18,3,"Yes"
"LV109804_1",109804,"Sick Leave",2017-05-01,2017-05-05,5,"Yes"
"LV109804_2",109804,"Vacation",2025-11-19,2025-11-23,5,"Yes"
"LV106220_1",106220,"Bereavement",2021-09-09,2021-09-10,2,"Yes"
"LV109881_1",109881,"Parental Leave",2021-02-19,2021-03-30,40,"No"
"LV103182_1",103182,"Vacation",2023-10-11,2023-10-15,5,"Yes"
"LV102206_1",102206,"Bereavement",2025-07-06,2025-07-09,4,"Yes"
"LV107235_1",107235,"Vacation",2025-12-21,2025-12-30,10,"Yes"
"LV109416_1",109416,"Medical Leave",2023-08-09,2023-08-31,23,"Yes"
"LV107991_1",107991,"Vacation",2024-09-23,2024-09-25,3,"Yes"
"LV107991_2",107991,"Sick Leave",2024-11-28,2024-11-28,1,"Yes"
"LV104526_1",104526,"Medical Leave",2019-02-19,2019-03-30,40,"Yes"
"LV101688_1",101688,"Sick Leave",2022-07-16,2022-07-17,2,"Yes"
"LV107391_1",107391,"Medical Leave",2022-05-26,2022-06-28,34,"No"
"LV107391_2",107391,"Jury Duty",2024-03-22,2024-03-22,1,"Yes"
"LV105739_1",105739,"Vacation",2025-05-07,2025-05-10,4,"Yes"
"LV105131_1",105131,"Sick Leave",2022-05-15,2022-05-18,4,"Yes"
"LV100010_1",100010,"Sick Leave",2022-08-19,2022-08-21,3,"Yes"
"LV101828_1",101828,"Medical Leave",2024-04-24,2024-05-15,22,"Yes"
"LV101718_1",101718,"Medical Leave",2026-01-08,2026-01-23,16,"No"
"LV109715_1",109715,"Parental Leave",2025-08-07,2025-09-04,29,"Yes"
"LV109715_2",109715,"Vacation",2025-08-13,2025-08-17,5,"Yes"
"LV106920_1",106920,"Medical Leave",2020-06-27,2020-07-30,34,"Yes"
"LV101543_1",101543,"Vacation",2022-10-03,2022-10-09,7,"Yes"
"LV104555_1",104555,"Vacation",2023-11-25,2023-12-02,8,"Yes"
"LV109960_1",109960,"Bereavement",2024-11-01,2024-11-02,2,"Yes"
