"ReviewID","EmployeeID","ReviewDate","PerformanceRating","PotentialRating","GoalCompletionPct","MeritIncreasePct","PromotionRecommended"
"R2023_108439",108439,2023-12-31,2,2,88,0.009,"No"
"R2023_104925",104925,2023-12-31,4,2,89,0.044,"No"
"R2023_102321",102321,2023-12-31,3,3,70,0.011,"No"
"R2023_100925",100925,2023-12-31,4,4,91,0.042,"No"
"R2023_107744",107744,2023-12-31,4,2,81,0.038,"No"
"R2023_100462",100462,2023-12-31,2,3,73,0.008,"No"
"R2023_105458",105458,2023-12-31,3,2,79,0.016,"No"
"R2023_101296",101296,2023-12-31,3,5,65,0.011,"No"
"R2023_100679",100679,2023-12-31,3,3,85,0.02,"No"
"R2023_101306",101306,2023-12-31,4,4,100,0.04,"No"
"R2023_107115",107115,2023-12-31,4,3,98,0.045,"No"
"R2023_107759",107759,2023-12-31,4,2,50,0.04,"No"
"R2023_108809",108809,2023-12-31,3,3,99,0.022,"No"
"R2023_105824",105824,2023-12-31,3,3,76,0.018,"No"
"R2023_109950",109950,2023-12-31,3,4,100,0.015,"No"
"R2023_105405",105405,2023-12-31,3,5,76,0.018,"No"
"R2023_102916",102916,2023-12-31,3,5,43,0.025,"No"
"R2023_107473",107473,2023-12-31,5,4,100,0.074,"No"
"R2023_100546",100546,2023-12-31,4,4,92,0.03,"No"
"R2023_103099",103099,2023-12-31,5,3,57,0.065,"No"
"R2023_109850",109850,2023-12-31,3,4,100,0.028,"No"
"R2023_106707",106707,2023-12-31,4,3,73,0.049,"No"
"R2023_105122",105122,2023-12-31,4,5,96,0.049,"No"
"R2023_105581",105581,2023-12-31,2,3,76,0.006,"No"
"R2023_103096",103096,2023-12-31,5,2,75,0.073,"No"
"R2023_107711",107711,2023-12-31,3,4,96,0.018,"No"
"R2023_102463",102463,2023-12-31,4,4,96,0.032,"No"
"R2023_106843",106843,2023-12-31,2,2,93,0.008,"No"
"R2023_105036",105036,2023-12-31,5,3,96,0.064,"No"
"R2023_100526",100526,2023-12-31,4,3,81,0.037,"No"
"R2023_108254",108254,2023-12-31,4,3,85,0.041,"No"
"R2023_109577",109577,2023-12-31,5,4,87,0.059,"No"
"R2023_107004",107004,2023-12-31,3,4,73,0.021,"No"
"R2023_109343",109343,2023-12-31,3,3,100,0.018,"No"
"R2023_104073",104073,2023-12-31,5,3,61,0.052,"No"
"R2023_108305",108305,2023-12-31,3,3,87,0.012,"No"
"R2023_109390",109390,2023-12-31,3,3,77,0.028,"No"
"R2023_106556",106556,2023-12-31,3,4,100,0.011,"No"
"R2023_105839",105839,2023-12-31,3,2,66,0.025,"No"
"R2023_100764",100764,2023-12-31,3,3,98,0.026,"No"
"R2023_101025",101025,2023-12-31,3,3,100,0.024,"No"
"R2023_102509",102509,2023-12-31,3,3,68,0.024,"No"
"R2023_104582",104582,2023-12-31,4,4,89,0.032,"No"
"R2023_105397",105397,2023-12-31,3,4,80,0.026,"No"
"R2023_109009",109009,2023-12-31,3,3,72,0.012,"No"
"R2023_100212",100212,2023-12-31,3,4,85,0.016,"No"
"R2023_107980",107980,2023-12-31,3,3,71,0.02,"No"
"R2023_103928",103928,2023-12-31,3,3,86,0.024,"No"
"R2023_107732",107732,2023-12-31,3,4,67,0.027,"No"
"R2023_109284",109284,2023-12-31,4,4,95,0.038,"No"
"R2023_107378",107378,2023-12-31,3,3,44,0.022,"No"
"R2023_103074",103074,2023-12-31,1,2,97,0,"No"
"R2023_101336",101336,2023-12-31,4,3,73,0.031,"No"
"R2023_106260",106260,2023-12-31,2,4,75,0.008,"No"
"R2023_102454",102454,2023-12-31,4,4,79,0.044,"No"
"R2023_103912",103912,2023-12-31,3,3,98,0.028,"No"
"R2023_104811",104811,2023-12-31,3,2,99,0.03,"No"
"R2023_103113",103113,2023-12-31,4,3,58,0.035,"No"
"R2023_100186",100186,2023-12-31,3,3,82,0.016,"No"
"R2023_104738",104738,2023-12-31,4,2,67,0.034,"No"
"R2023_105087",105087,2023-12-31,3,2,72,0.026,"No"
"R2023_100303",100303,2023-12-31,4,2,99,0.049,"No"
"R2023_108386",108386,2023-12-31,3,2,96,0.014,"No"
"R2023_107865",107865,2023-12-31,4,3,75,0.036,"No"
"R2023_104583",104583,2023-12-31,3,3,95,0.022,"No"
"R2023_100675",100675,2023-12-31,2,4,66,0.009,"No"
"R2023_105294",105294,2023-12-31,5,4,80,0.073,"No"
"R2023_104396",104396,2023-12-31,3,2,100,0.024,"No"
"R2023_103006",103006,2023-12-31,4,3,86,0.033,"No"
"R2023_106302",106302,2023-12-31,2,3,71,0.007,"No"
"R2023_107673",107673,2023-12-31,3,3,93,0.013,"No"
"R2023_109811",109811,2023-12-31,3,3,94,0.028,"No"
"R2023_102673",102673,2023-12-31,5,3,94,0.051,"No"
"R2023_102052",102052,2023-12-31,3,3,71,0.026,"No"
"R2023_109885",109885,2023-12-31,3,3,75,0.018,"No"
"R2023_108106",108106,2023-12-31,3,3,98,0.026,"No"
"R2023_103155",103155,2023-12-31,2,3,100,0.007,"No"
"R2023_108841",108841,2023-12-31,5,4,53,0.056,"No"
"R2023_103920",103920,2023-12-31,4,3,100,0.046,"No"
"R2023_109948",109948,2023-12-31,4,4,98,0.047,"No"
"R2023_109935",109935,2023-12-31,3,2,80,0.02,"No"
"R2023_106290",106290,2023-12-31,4,4,72,0.049,"No"
"R2023_102497",102497,2023-12-31,3,2,86,0.014,"No"
"R2023_108365",108365,2023-12-31,3,3,66,0.027,"No"
"R2023_106334",106334,2023-12-31,3,4,95,0.023,"No"
"R2023_101603",101603,2023-12-31,4,3,77,0.044,"No"
"R2023_100947",100947,2023-12-31,2,3,85,0.008,"No"
"R2023_108852",108852,2023-12-31,3,2,76,0.029,"No"
"R2023_101646",101646,2023-12-31,4,2,96,0.04,"No"
"R2023_103417",103417,2023-12-31,3,4,80,0.02,"No"
"R2023_109939",109939,2023-12-31,4,4,61,0.048,"No"
"R2023_100762",100762,2023-12-31,4,3,97,0.046,"No"
"R2023_107984",107984,2023-12-31,4,4,71,0.044,"No"
"R2023_106479",106479,2023-12-31,4,3,95,0.05,"No"
"R2023_100816",100816,2023-12-31,3,3,100,0.019,"No"
"R2023_104596",104596,2023-12-31,3,4,83,0.017,"No"
"R2023_104838",104838,2023-12-31,4,3,82,0.032,"No"
"R2023_101347",101347,2023-12-31,4,4,81,0.044,"No"
"R2023_109710",109710,2023-12-31,3,5,100,0.021,"No"
"R2023_101132",101132,2023-12-31,4,3,99,0.038,"No"
"R2023_103999",103999,2023-12-31,4,2,64,0.034,"No"
"R2023_103388",103388,2023-12-31,3,2,94,0.013,"No"
"R2023_100504",100504,2023-12-31,4,4,85,0.05,"No"
"R2023_103681",103681,2023-12-31,4,3,75,0.045,"No"
"R2023_107091",107091,2023-12-31,2,4,100,0.004,"No"
"R2023_101601",101601,2023-12-31,4,4,76,0.042,"No"
"R2023_100369",100369,2023-12-31,4,3,86,0.033,"No"
"R2023_100111",100111,2023-12-31,4,3,65,0.039,"No"
"R2023_106044",106044,2023-12-31,5,3,93,0.055,"No"
"R2023_103764",103764,2023-12-31,3,2,80,0.018,"No"
"R2023_106283",106283,2023-12-31,1,3,68,0,"No"
"R2023_100074",100074,2023-12-31,3,4,42,0.013,"No"
"R2023_103331",103331,2023-12-31,3,3,100,0.014,"No"
"R2023_109424",109424,2023-12-31,3,3,100,0.026,"No"
"R2023_108189",108189,2023-12-31,3,3,100,0.01,"No"
"R2023_101532",101532,2023-12-31,4,3,94,0.041,"No"
"R2023_101772",101772,2023-12-31,4,4,79,0.031,"No"
"R2023_103754",103754,2023-12-31,3,2,81,0.016,"No"
"R2023_107667",107667,2023-12-31,3,4,90,0.011,"No"
