"PromotionEventID","EmployeeID","PromotionDate","PriorJobLevel","NewJobLevel","PromotionType"
"P104175_1",104175,2023-12-06,4,5,"Promotion"
"P104175_2",104175,2024-10-24,4,5,"In-Level Progression"
"P102598_1",102598,2019-10-26,4,5,"Promotion"
"P103375_1",103375,2024-02-11,4,5,"In-Level Progression"
"P105076_1",105076,2021-12-11,4,5,"In-Level Progression"
"P107561_1",107561,2018-05-31,4,5,"Promotion"
"P103923_1",103923,2019-03-03,4,5,"In-Level Progression"
"P103667_1",103667,2022-02-02,4,5,"Promotion"
"P102864_1",102864,2021-03-31,4,5,"Promotion"
"P107354_1",107354,2025-06-06,4,5,"Promotion"
"P105642_1",105642,2023-06-12,4,5,"Promotion"
"P105158_1",105158,2025-08-17,4,5,"In-Level Progression"
"P107273_1",107273,2022-08-26,4,5,"In-Level Progression"
"P107273_2",107273,2025-05-18,4,5,"In-Level Progression"
"P109956_1",109956,2025-01-14,4,5,"In-Level Progression"
"P109956_2",109956,2025-06-03,4,5,"In-Level Progression"
"P101167_1",101167,2022-06-23,4,5,"Promotion"
"P101543_1",101543,2017-06-11,4,5,"In-Level Progression"
"P101543_2",101543,2020-07-03,4,5,"Promotion"
"P109313_1",109313,2018-08-08,4,5,"In-Level Progression"
"P105983_1",105983,2019-10-03,4,5,"In-Level Progression"
"P105983_2",105983,2020-03-19,4,5,"In-Level Progression"
"P108919_1",108919,2024-08-19,4,5,"Promotion"
"P107693_1",107693,2021-09-11,4,5,"Promotion"
"P101217_1",101217,2024-12-27,4,5,"Promotion"
"P102294_1",102294,2024-04-17,4,5,"Promotion"
"P104470_1",104470,2024-07-04,4,5,"Promotion"
"P102980_1",102980,2024-04-20,4,5,"Promotion"
"P107512_1",107512,2024-11-09,4,5,"Promotion"
"P103551_1",103551,2025-08-21,4,5,"Promotion"
"P106262_1",106262,2025-08-29,4,5,"Promotion"
"P101226_1",101226,2025-12-22,4,5,"Promotion"
"P102535_1",102535,2018-11-12,3,4,"Promotion"
"P101003_1",101003,2019-08-13,3,4,"In-Level Progression"
"P106326_1",106326,2021-07-02,3,4,"Promotion"
"P102315_1",102315,2024-05-28,3,4,"In-Level Progression"
"P102483_1",102483,2022-06-01,3,4,"Promotion"
"P100295_1",100295,2018-12-10,3,4,"Promotion"
"P108012_1",108012,2019-01-24,3,4,"Promotion"
